,city,state,pop,latitude,longitude,count,count_pop
493,Asheboro,NC,26103,35.70791,-79.81364,1,3.8309772823047157e-05
494,Evans,CO,21383,40.37637,-104.69219,1,4.676612262077351e-05
495,Bellwood,IL,19308,41.88142,-87.88312,1,5.179200331468821e-05
496,Tinton Falls,NJ,17772,40.30428,-74.10042,5,0.0002813414359666892
497,Bellevue,KY,5892,39.10645,-84.47883,1,0.00016972165648336727
498,Bowling Green,KY,63616,36.99032,-86.4436,7,0.00011003521126760564
499,Emeryville,CA,11694,37.83132,-122.28525,8,0.0006841115101761587
500,Akron,OH,197542,41.08144,-81.51901,3,1.518664385295279e-05
501,Hollywood,FL,149728,26.0112,-80.14949,4,2.6715110066253472e-05
502,Myrtle Beach,SC,31035,33.68906,-78.88669,3,9.666505558240696e-05
503,Kenai,AK,7661,60.55444,-151.25833,1,0.00013053126223730585
504,Peekskill,NY,24043,41.29009,-73.92042,1,4.159214740257039e-05
505,Woodland,CA,58567,38.67852,-121.7733,1,1.7074461727594038e-05
506,Katy,TX,16158,29.78579,-95.8244,7,0.00043322193340759993
507,Madison,AL,46962,34.69926,-86.74833,1,2.1293812018227504e-05
508,Binghamton,NY,46032,42.09869,-75.91797,2,4.344803614876608e-05
509,Lawrence,MA,80231,42.70704,-71.16311,1,1.2464010170632299e-05
510,Hopkinton,MA,2550,42.22871,-71.52256,1,0.000392156862745098
511,Baton Rouge,LA,228590,30.45075,-91.15455,17,7.436895752220132e-05
512,Matthews,NC,30678,35.11681,-80.72368,2,6.519329812895235e-05
513,Cooper City,FL,35364,26.05731,-80.27172,1,2.8277344191833503e-05
514,Ithaca,NY,30788,42.44063,-76.49661,2,6.496037417175523e-05
515,Troy,MO,11542,38.97949,-90.9807,1,8.664009703690868e-05
516,Ramsey,NJ,15102,41.05732,-74.14098,3,0.0001986491855383393
517,Arlington,MA,42844,42.41537,-71.15644,4,9.336196433572963e-05
518,Hawaiian Paradise Park,HI,11404,19.59333,-154.97306,1,8.768853034023149e-05
519,Whittier,CA,87438,33.97918,-118.03284,5,5.7183375649031315e-05
520,Canton,MI,86825,42.30865,-83.48216,1,1.1517420097898071e-05
521,Lynn,MA,92457,42.46676,-70.94949,3,3.244751614263928e-05
522,Henderson,KY,28890,37.83615,-87.59001,1,3.461405330564209e-05
523,Yuba City,CA,66941,39.14045,-121.61691,1,1.4938527957455073e-05
524,Tuscaloosa,AL,98332,33.20984,-87.56917,5,5.084814709351991e-05
525,Helena,MT,30581,46.59271,-112.03611,1,3.2700042510055265e-05
526,North Pole,AK,2189,64.75111,-147.34944,8,0.003654636820465966
527,Lakewood,OH,50656,41.48199,-81.79819,1,1.974099810486418e-05
528,Pocasset,MA,2851,41.68622,-70.61614,2,0.0007015082427218519
529,Folsom,CA,76375,38.67796,-121.17606,6,7.855973813420621e-05
530,New Albany,OH,9879,40.08117,-82.80879,2,0.00020244964065188785
531,Frederick,MD,69479,39.41427,-77.41054,1,1.4392838123749622e-05
532,Franklin,KY,8787,36.72226,-86.57722,1,0.00011380448389666553
533,Cleveland,TN,43898,35.15952,-84.87661,1,2.2780081097088706e-05
534,Johnstown,NY,8345,43.00674,-74.36764,2,0.0002396644697423607
535,Cocoa Beach,FL,11595,28.32055,-80.60922,1,8.6244070720138e-05
536,Laguna Beach,CA,23365,33.54225,-117.78311,5,0.00021399529210357372
537,Springfield,VA,30484,38.78928,-77.1872,2,6.560818790185015e-05
538,Shelby,OH,9058,40.88145,-82.66184,1,0.00011039964672113049
539,Sea Cliff,NY,5025,40.84899,-73.64485,1,0.0001990049751243781
540,Rolling Meadows,IL,24190,42.08419,-88.01313,1,4.133939644481191e-05
541,Cairo,GA,9752,30.87751,-84.20214,1,0.00010254306808859722
542,Green Bay,WI,105207,44.51916,-88.01983,6,5.7030425732128093e-05
543,Live Oak,CA,17158,36.98356,-121.98052,4,0.00023312740412635504
544,Lancaster,OH,39766,39.71368,-82.59933,1,2.5147110596992405e-05
545,Livonia,MI,94635,42.36837,-83.35271,1,1.0566914989168912e-05
546,Huntington,WV,48638,38.41925,-82.44515,1,2.056005592335211e-05
547,Santa Fe,NM,84099,35.68698,-105.9378,9,0.00010701673028216744
548,Marysville,WA,66773,48.05176,-122.17708,4,5.9904452398424516e-05
549,South Riding,VA,24256,38.92094,-77.50388,1,4.122691292875989e-05
550,Onarga,IL,1321,40.71504,-88.00615,6,0.004542013626040878
551,Weatherford,OK,12126,35.52616,-98.70757,1,8.246742536698004e-05
552,Redlands,CA,71035,34.05557,-117.18254,1,1.407756739635391e-05
553,Ashland,VA,7503,37.75903,-77.47998,3,0.00039984006397441024
554,Sumas,WA,1373,49.00012,-122.26488,1,0.0007283321194464676
555,Fullerton,CA,140847,33.87029,-117.92534,2,1.4199805462665162e-05
556,Urbana,MD,9175,39.32594,-77.35137,2,0.00021798365122615803
557,Rochester Hills,MI,73424,42.65837,-83.14993,1,1.361952495096971e-05
558,Indianola,WA,3500,47.74704,-122.52569,1,0.00028571428571428574
559,Antioch,CA,110542,38.00492,-121.80579,7,6.332434730690598e-05
560,Watertown,MA,31915,42.37093,-71.18283,1,3.133322888923704e-05
561,Pahrump,NV,36441,36.20829,-115.98391,3,8.232485387338437e-05
562,Highland,IN,22936,41.55365,-87.45198,5,0.00021799790722009068
563,Mount Vernon,WA,34053,48.42122,-122.33405,1,2.936598831233665e-05
564,Glens Falls,NY,14291,43.30952,-73.64401,3,0.0002099223287383668
565,Troutdale,OR,16631,45.53929,-122.38731,1,6.01286753652817e-05
566,Simi Valley,CA,126788,34.26945,-118.78148,4,3.1548727008865195e-05
567,Braintree,MA,33509,42.22232,-70.99949,1,2.984272881912322e-05
568,Wright City,MO,3445,38.82755,-91.02014,1,0.00029027576197387516
569,Santa Barbara,CA,91842,34.42083,-119.69819,10,0.00010888264628383528
570,Yellow Springs,OH,3793,39.80645,-83.88687,1,0.0002636435539151068
571,New Port Richey,FL,15842,28.24418,-82.71927,5,0.00031561671506122964
572,Rutland,MA,2111,42.36954,-71.94813,3,0.0014211274277593558
573,Timberville,VA,2603,38.63901,-78.77391,2,0.000768344218209758
574,Garfield,NJ,31802,40.88149,-74.1132,1,3.144456323501666e-05
575,Evergreen,CO,9038,39.63332,-105.31721,1,0.00011064394777605666
576,Oak Park,IL,52287,41.88503,-87.7845,4,7.650085107196818e-05
577,Quincy,MA,93618,42.25288,-71.00227,2,2.1363413018863893e-05
578,North Chicago,IL,29491,42.32558,-87.84118,1,3.3908650096639655e-05
579,North Miami Beach,FL,43971,25.93315,-80.16255,3,6.822678583611926e-05
580,Renton,WA,100242,47.48288,-122.21707,2,1.995171684523453e-05
581,Westminster,CA,92114,33.75918,-118.00673,2,2.1712226154547625e-05
582,Cocoa,FL,17711,28.38612,-80.742,1,5.646208570944611e-05
583,Burbank,CA,105319,34.18084,-118.30897,7,6.646474045518852e-05
584,Des Moines,WA,31221,47.40177,-122.32429,1,3.2029723583485475e-05
585,North Bend,NE,1234,41.46195,-96.77975,1,0.0008103727714748784
586,South Gate,CA,96401,33.95474,-118.21202,1,1.037333637617867e-05
587,Bethel,CT,9549,41.37121,-73.41401,7,0.0007330610535134569
588,Ocean City,MD,7055,38.3365,-75.08491,1,0.00014174344436569808
589,Flagstaff,AZ,70320,35.19807,-111.65127,3,4.266211604095563e-05
590,Carnegie,PA,7931,40.40868,-80.08339,2,0.00025217500945656286
591,North Port,FL,62345,27.04422,-82.23593,1,1.6039778651054614e-05
592,Gambrills,MD,2800,39.06705,-76.66524,1,0.00035714285714285714
593,Northville,MI,6010,42.43115,-83.48327,6,0.0009983361064891847
594,Oshkosh,WI,66555,44.02471,-88.54261,2,3.00503343099692e-05
595,Mandeville,LA,12345,30.35825,-90.06563,1,8.100445524503848e-05
596,Ventura,CA,96769,34.27834,-119.29317,3,3.10016637559549e-05
597,Camarillo,CA,67608,34.21639,-119.0376,2,2.9582297952904983e-05
